DATE,DSWR,FRBD,GZBD,GALI
01,XX,70,46,68
02,66,00,57,57
03,70,88,94,72
04,73,00,52,54
05,72,52,67,41
06,04,82,49,73
07,96,83,14,21
08,64,03,57,64
09,03,96,49,40
10,48,08,93,26
11,36,13,34,95
12,23,78,85,23
13,93,41,01,81
14,05,40,67,67
15,87,12,00,87
16,73,90,23,14
17,63,41,14,30
18,09,33,14,95
19,71,94,66,64
20,36,19,53,40
21,24,08,97,54
22,70,55,38,31
23,42,64,38,95
24,63,44,63,00
25,62,10,13,82
26,48,91,64,42
27,96,60,93,19
28,84,58,52,63
29,48,57,10,95
30,17,XX,XX,XX
