DATE,DSWR,FRBD,GZBD,GALI
01,XX,26,90,55
02,45,06,06,69
03,01,62,45,12
04,61,40,88,64
05,07,90,40,46
06,18,57,27,58
07,45,93,52,87
08,34,71,65,94
09,94,64,97,72
10,79,64,57,31
11,11,79,33,71
12,41,84,79,22
13,93,82,33,84
14,88,56,27,41
15,29,39,20,72
16,33,97,09,51
17,15,32,88,28
18,59,75,34,33
19,29,78,03,74
20,21,66,82,80
21,93,44,10,14
22,20,86,36,92
23,75,44,48,47
24,16,08,61,47
25,47,37,23,57
26,22,39,51,65
27,63,99,16,23
28,70,58,99,87
29,51,02,93,91
30,46,58,91,39
31,66,XX,XX,XX
