DATE,DSWR,FRBD,GZBD,GALI
01,XX,23,88,13
02,68,80,98,71
03,56,00,64,59
04,92,22,61,22
05,56,14,82,28
06,85,66,89,45
07,21,71,83,99
08,89,14,79,87
09,61,84,98,82
10,31,26,43,57
11,57,37,89,36
12,87,12,81,32
13,01,73,18,83
14,27,62,37,46
15,75,01,71,64
16,80,63,29,48
17,18,11,61,32
18,03,00,28,44
19,38,60,20,72
20,70,28,77,11
21,81,14,44,95
22,84,01,70,34
23,15,84,51,28
24,43,49,96,29
25,34,58,81,94
26,06,09,59,07
27,80,26,15,69
28,78,44,11,55
29,51,67,69,49
30,32,64,90,84
31,89,XX,XX,XX
